instance,n_cranes,method,cost,lb_mc,gap,interference,n_steps,time_s
mc_R101606_002_c3.txt,3,ZS+S2,82307.5,74312.0,10.76,1.0,433,0.0
mc_R101606_002_c3.txt,3,M-Lin2015,100752.4,74312.0,35.58,0.0,0,12.458
mc_R101606_003_c2.txt,2,ZS+S2,84874.7,76744.5,10.59,4.0,458,0.0
mc_R101606_003_c2.txt,2,M-Lin2015,100281.1,76744.5,30.67,0.0,0,12.998
mc_R101606_003_c3.txt,3,ZS+S2,83223.9,74681.7,11.44,2.0,458,0.0
mc_R101606_003_c3.txt,3,M-Lin2015,100281.1,74681.7,34.28,0.0,0,13.004
mc_R101606_004_c2.txt,2,ZS+S2,84592.6,77251.0,9.5,0.0,435,0.0
mc_R101606_004_c2.txt,2,M-Lin2015,102336.2,77251.0,32.47,0.0,0,12.765
mc_R101606_004_c3.txt,3,ZS+S2,83716.2,75301.6,11.17,0.0,435,0.0
mc_R101606_004_c3.txt,3,M-Lin2015,102336.2,75301.6,35.9,0.0,0,12.746
mc_R101606_005_c2.txt,2,ZS+S2,84058.0,76497.5,9.88,0.0,449,0.0
mc_R101606_005_c2.txt,2,M-Lin2015,99935.5,76497.5,30.64,0.0,0,12.709
mc_R101606_005_c3.txt,3,ZS+S2,82679.0,74526.5,10.94,0.0,449,0.0
mc_R101606_005_c3.txt,3,M-Lin2015,99954.3,74526.5,34.12,0.0,0,12.722
mc_U011606_001_c2.txt,2,ZS+S2,5320.8,5544.5,-4.03,0.0,56,0.0
mc_U011606_001_c2.txt,2,M-Lin2015,5623.2,5544.5,1.42,0.0,0,0.442
mc_U011606_001_c3.txt,3,ZS+S2,5320.8,5646.2,-5.76,0.0,56,0.0
mc_U011606_001_c3.txt,3,M-Lin2015,5623.2,5646.2,-0.41,0.0,0,0.445
mc_U011606_002_c2.txt,2,ZS+S2,5528.4,5482.5,0.84,0.0,61,0.0
mc_U011606_002_c2.txt,2,M-Lin2015,5720.4,5482.5,4.34,0.0,0,0.461
mc_U011606_002_c3.txt,3,ZS+S2,5528.4,5582.4,-0.97,0.0,61,0.0
mc_U011606_002_c3.txt,3,M-Lin2015,5720.4,5582.4,2.47,0.0,0,0.459
mc_U011608_001_c2.txt,2,ZS+S2,7611.6,7341.9,3.67,0.0,81,0.0
mc_U011608_001_c2.txt,2,M-Lin2015,7467.6,7341.9,1.71,0.0,0,0.598
mc_U011608_001_c3.txt,3,ZS+S2,7611.6,7478.8,1.78,0.0,81,0.0
mc_U011608_001_c3.txt,3,M-Lin2015,7467.6,7478.8,-0.15,0.0,0,0.597
mc_U011608_002_c2.txt,2,ZS+S2,7767.6,7437.9,4.43,0.0,90,0.0
mc_U011608_002_c2.txt,2,M-Lin2015,7903.2,7437.9,6.26,0.0,0,0.617
mc_U011608_002_c3.txt,3,ZS+S2,7767.6,7574.8,2.55,0.0,90,0.0
mc_U011608_002_c3.txt,3,M-Lin2015,7903.2,7574.8,4.34,0.0,0,0.62
mc_U021606_001_c2.txt,2,ZS+S2,13436.4,11873.4,13.16,0.0,119,0.0
mc_U021606_001_c2.txt,2,M-Lin2015,15359.4,11873.4,29.36,0.0,0,1.179
mc_U021606_001_c3.txt,3,ZS+S2,13479.9,12073.2,11.65,0.0,119,0.0
mc_U021606_001_c3.txt,3,M-Lin2015,15359.4,12073.2,27.22,0.0,0,1.17
mc_U021606_002_c2.txt,2,ZS+S2,13364.1,11914.2,12.17,0.0,115,0.0
mc_U021606_002_c2.txt,2,M-Lin2015,16091.7,11914.2,35.06,0.0,0,1.184
mc_U021606_002_c3.txt,3,ZS+S2,13407.6,12114.0,10.68,0.0,115,0.0
mc_U021606_002_c3.txt,3,M-Lin2015,16091.7,12114.0,32.84,0.0,0,1.179
mc_U021608_001_c2.txt,2,ZS+S2,18987.3,16219.2,17.07,0.0,173,0.0
mc_U021608_001_c2.txt,2,M-Lin2015,22477.5,16219.2,38.59,0.0,0,1.738
mc_U021608_001_c3.txt,3,ZS+S2,19030.8,16511.5,15.26,0.0,173,0.0
mc_U021608_001_c3.txt,3,M-Lin2015,22984.5,16511.5,39.2,0.0,0,1.725
mc_U021608_002_c2.txt,2,ZS+S2,18814.2,15942.9,18.01,0.0,181,0.0
mc_U021608_002_c2.txt,2,M-Lin2015,24017.1,15942.9,50.64,0.0,0,1.789
mc_U021608_002_c3.txt,3,ZS+S2,18857.7,16235.2,16.15,0.0,181,0.0
mc_U021608_002_c3.txt,3,M-Lin2015,24017.1,16235.2,47.93,0.0,0,1.812
mc_U041606_001_c2.txt,2,ZS+S2,30491.4,27026.4,12.82,0.0,224,0.0
mc_U041606_001_c2.txt,2,M-Lin2015,38589.5,27026.4,42.78,0.0,0,3.415
mc_U041606_001_c3.txt,3,ZS+S2,29647.8,25854.6,14.67,0.0,224,0.0
mc_U041606_001_c3.txt,3,M-Lin2015,38589.5,25854.6,49.26,0.0,0,3.413
mc_U041606_002_c2.txt,2,ZS+S2,31053.3,26971.0,15.14,0.0,240,0.0
mc_U041606_002_c2.txt,2,M-Lin2015,39628.8,26971.0,46.93,0.0,0,3.309
mc_U041606_002_c3.txt,3,ZS+S2,30340.2,25804.6,17.58,0.0,240,0.0
mc_U041606_002_c3.txt,3,M-Lin2015,39628.8,25804.6,53.57,0.0,0,3.301
mc_U041608_001_c2.txt,2,ZS+S2,44191.2,37990.7,16.32,0.0,354,0.0
mc_U041608_001_c2.txt,2,M-Lin2015,53828.9,37990.7,41.69,0.0,0,5.365
mc_U041608_001_c3.txt,3,ZS+S2,43482.0,36284.3,19.84,0.0,354,0.0
mc_U041608_001_c3.txt,3,M-Lin2015,53828.9,36284.3,48.35,0.0,0,5.362
mc_U041608_002_c2.txt,2,ZS+S2,43918.8,37390.5,17.46,0.0,336,0.0
mc_U041608_002_c2.txt,2,M-Lin2015,52494.5,37390.5,40.4,0.0,0,5.194
mc_U041608_002_c3.txt,3,ZS+S2,42975.0,35684.1,20.43,0.0,336,0.0
mc_U041608_002_c3.txt,3,M-Lin2015,52494.5,35684.1,47.11,0.0,0,5.201
mc_U061606_001_c2.txt,2,ZS+S2,49770.6,43790.0,13.66,0.0,358,0.0
mc_U061606_001_c2.txt,2,M-Lin2015,63516.1,43790.0,45.05,0.0,0,6.935
mc_U061606_001_c3.txt,3,ZS+S2,49196.9,41986.4,17.17,0.0,358,0.0
mc_U061606_001_c3.txt,3,M-Lin2015,63516.1,41986.4,51.28,0.0,0,6.944
mc_U061606_002_c2.txt,2,ZS+S2,50573.9,43981.6,14.99,0.0,361,0.0
mc_U061606_002_c2.txt,2,M-Lin2015,62955.7,43981.6,43.14,0.0,0,7.078
mc_U061606_002_c3.txt,3,ZS+S2,49537.2,42178.0,17.45,0.0,361,0.0
mc_U061606_002_c3.txt,3,M-Lin2015,63254.5,42178.0,49.97,0.0,0,7.112
mc_U061608_001_c2.txt,2,ZS+S2,69412.9,58577.0,18.5,0.0,524,0.0
mc_U061608_001_c2.txt,2,M-Lin2015,86905.8,58577.0,48.36,0.0,0,10.964
mc_U061608_001_c3.txt,3,ZS+S2,68695.9,56017.4,22.63,0.0,524,0.0
mc_U061608_001_c3.txt,3,M-Lin2015,86695.6,56017.4,54.77,0.0,0,10.353
mc_U061608_002_c2.txt,2,ZS+S2,69801.9,59054.0,18.2,0.0,511,0.0
mc_U061608_002_c2.txt,2,M-Lin2015,83758.5,59054.0,41.83,0.0,0,10.482
mc_U061608_002_c3.txt,3,ZS+S2,68904.5,56494.4,21.97,0.0,511,0.0
mc_U061608_002_c3.txt,3,M-Lin2015,83758.5,56494.4,48.26,0.0,0,10.516
mc_U081606_001_c2.txt,2,ZS+S2,68746.0,61312.3,12.12,0.0,458,0.0
mc_U081606_001_c2.txt,2,M-Lin2015,87875.1,61312.3,43.32,0.0,0,11.583
