instance,n_cranes,strategy,cost,lb_mc,gap,n_steps,interference,time_s
mc_R011608_002_c2.txt,2,S4,6666.0,6366.8,4.7,64,0.0,0.412
mc_R011608_002_c2.txt,3,S1,6666.0,6457.4,3.23,64,42.0,0.428
mc_R011608_002_c2.txt,3,S2,6666.0,6457.4,3.23,64,0.0,0.415
mc_R011608_002_c2.txt,3,S3,6666.0,6457.4,3.23,64,42.0,0.396
mc_R011608_002_c2.txt,3,S4,6666.0,6457.4,3.23,64,0.0,0.434
mc_R011608_002_c3.txt,2,S1,6666.0,6366.8,4.7,64,32.0,0.419
mc_R011608_002_c3.txt,2,S2,6666.0,6366.8,4.7,64,0.0,0.398
mc_R011608_002_c3.txt,2,S3,6666.0,6366.8,4.7,64,32.0,0.422
mc_R011608_002_c3.txt,2,S4,6666.0,6366.8,4.7,64,0.0,0.41
mc_R011608_002_c3.txt,3,S1,6666.0,6457.4,3.23,64,42.0,0.405
mc_R011608_002_c3.txt,3,S2,6666.0,6457.4,3.23,64,0.0,0.387
mc_R011608_002_c3.txt,3,S3,6666.0,6457.4,3.23,64,42.0,0.429
mc_R011608_002_c3.txt,3,S4,6666.0,6457.4,3.23,64,0.0,0.397
mc_R011608_003_c2.txt,2,S1,6912.0,6675.0,3.55,70,35.0,0.453
mc_R011608_003_c2.txt,2,S2,6912.0,6675.0,3.55,70,0.0,0.433
mc_R011608_003_c2.txt,2,S3,6912.0,6675.0,3.55,70,35.0,0.435
mc_R011608_003_c2.txt,2,S4,6912.0,6675.0,3.55,70,0.0,0.449
mc_R011608_003_c2.txt,3,S1,6912.0,6771.2,2.08,70,46.0,0.491
mc_R011608_003_c2.txt,3,S2,6912.0,6771.2,2.08,70,0.0,0.472
mc_R011608_003_c2.txt,3,S3,6912.0,6771.2,2.08,70,46.0,0.467
mc_R011608_003_c2.txt,3,S4,6912.0,6771.2,2.08,70,0.0,0.456
mc_R011608_003_c3.txt,2,S1,6912.0,6675.0,3.55,70,35.0,0.461
mc_R011608_003_c3.txt,2,S2,6912.0,6675.0,3.55,70,0.0,0.441
mc_R011608_003_c3.txt,2,S3,6912.0,6675.0,3.55,70,35.0,0.523
mc_R011608_003_c3.txt,2,S4,6912.0,6675.0,3.55,70,0.0,0.497
mc_R011608_003_c3.txt,3,S1,6912.0,6771.2,2.08,70,46.0,0.449
mc_R011608_003_c3.txt,3,S2,6912.0,6771.2,2.08,70,0.0,0.452
mc_R011608_003_c3.txt,3,S3,6912.0,6771.2,2.08,70,46.0,0.438
mc_R011608_003_c3.txt,3,S4,6912.0,6771.2,2.08,70,0.0,0.455
mc_R011608_004_c2.txt,2,S1,6607.2,6528.1,1.21,63,31.0,0.426
mc_R011608_004_c2.txt,2,S2,6607.2,6528.1,1.21,63,0.0,0.422
mc_R011608_004_c2.txt,2,S3,6607.2,6528.1,1.21,63,31.0,0.442
mc_R011608_004_c2.txt,2,S4,6607.2,6528.1,1.21,63,0.0,0.428
mc_R011608_004_c2.txt,3,S1,6607.2,6626.2,-0.29,63,42.0,0.409
mc_R011608_004_c2.txt,3,S2,6607.2,6626.2,-0.29,63,0.0,0.41
mc_R011608_004_c2.txt,3,S3,6607.2,6626.2,-0.29,63,42.0,0.425
mc_R011608_004_c2.txt,3,S4,6607.2,6626.2,-0.29,63,0.0,0.412
mc_R011608_004_c3.txt,2,S1,6607.2,6528.1,1.21,63,31.0,0.431
mc_R011608_004_c3.txt,2,S2,6607.2,6528.1,1.21,63,0.0,0.406
mc_R011608_004_c3.txt,2,S3,6607.2,6528.1,1.21,63,31.0,0.414
mc_R011608_004_c3.txt,2,S4,6607.2,6528.1,1.21,63,0.0,0.777
mc_R011608_004_c3.txt,3,S1,6607.2,6626.2,-0.29,63,42.0,1.794
mc_R011608_004_c3.txt,3,S2,6607.2,6626.2,-0.29,63,0.0,0.429
mc_R011608_004_c3.txt,3,S3,6607.2,6626.2,-0.29,63,42.0,0.424
mc_R011608_004_c3.txt,3,S4,6607.2,6626.2,-0.29,63,0.0,0.415
mc_R011608_005_c2.txt,2,S1,6752.4,6474.1,4.3,64,32.0,0.425
mc_R011608_005_c2.txt,2,S2,6752.4,6474.1,4.3,64,0.0,0.464
mc_R011608_005_c2.txt,2,S3,6752.4,6474.1,4.3,64,32.0,0.61
mc_R011608_005_c2.txt,2,S4,6752.4,6474.1,4.3,64,0.0,0.612
mc_R011608_005_c2.txt,3,S1,6752.4,6572.2,2.74,64,42.0,0.585
mc_R011608_005_c2.txt,3,S2,6752.4,6572.2,2.74,64,0.0,0.542
mc_R011608_005_c2.txt,3,S3,6752.4,6572.2,2.74,64,42.0,0.59
mc_R011608_005_c2.txt,3,S4,6752.4,6572.2,2.74,64,0.0,0.578
mc_R011608_005_c3.txt,2,S1,6752.4,6474.1,4.3,64,32.0,0.751
mc_R011608_005_c3.txt,2,S2,6752.4,6474.1,4.3,64,0.0,0.758
mc_R011608_005_c3.txt,2,S3,6752.4,6474.1,4.3,64,32.0,0.761
mc_R011608_005_c3.txt,2,S4,6752.4,6474.1,4.3,64,0.0,0.655
mc_R011608_005_c3.txt,3,S1,6752.4,6572.2,2.74,64,42.0,0.57
mc_R011608_005_c3.txt,3,S2,6752.4,6572.2,2.74,64,0.0,0.562
mc_R011608_005_c3.txt,3,S3,6752.4,6572.2,2.74,64,42.0,0.648
mc_R011608_005_c3.txt,3,S4,6752.4,6572.2,2.74,64,0.0,0.572
mc_R021606_001_c2.txt,2,S1,12130.5,11315.4,7.2,82,42.0,0.826
mc_R021606_001_c2.txt,2,S2,12130.5,11315.4,7.2,82,0.0,0.931
mc_R021606_001_c2.txt,2,S3,12130.5,11315.4,7.2,82,42.0,0.824
mc_R021606_001_c2.txt,2,S4,12130.5,11315.4,7.2,82,0.0,0.827
mc_R021606_001_c2.txt,3,S1,12130.5,11441.2,6.02,82,52.0,0.8
mc_R021606_001_c2.txt,3,S2,12130.5,11441.2,6.02,82,0.0,0.981
mc_R021606_001_c2.txt,3,S3,12130.5,11441.2,6.02,82,52.0,0.984
mc_R021606_001_c2.txt,3,S4,12130.5,11441.2,6.02,82,0.0,0.907
mc_R021606_001_c3.txt,2,S1,12130.5,11315.4,7.2,82,42.0,0.832
mc_R021606_001_c3.txt,2,S2,12130.5,11315.4,7.2,82,0.0,0.858
mc_R021606_001_c3.txt,2,S3,12130.5,11315.4,7.2,82,42.0,0.735
mc_R021606_001_c3.txt,2,S4,12130.5,11315.4,7.2,82,0.0,0.819
mc_R021606_001_c3.txt,3,S1,12174.0,11441.2,6.4,82,52.0,0.801
mc_R021606_001_c3.txt,3,S2,12174.0,11441.2,6.4,82,0.0,0.788
mc_R021606_001_c3.txt,3,S3,12174.0,11441.2,6.4,82,52.0,0.797
mc_R021606_001_c3.txt,3,S4,12130.5,11441.2,6.02,82,0.0,0.906
mc_R021606_002_c2.txt,2,S1,11614.2,10754.5,7.99,77,35.0,0.767
mc_R021606_002_c2.txt,2,S2,11529.6,10754.5,7.21,77,0.0,0.781
mc_R021606_002_c2.txt,2,S3,11614.2,10754.5,7.99,77,35.0,0.785
mc_R021606_002_c2.txt,2,S4,11529.6,10754.5,7.21,77,0.0,1.215
mc_R021606_002_c2.txt,3,S1,11616.6,10860.0,6.97,77,48.0,1.19
