instance,n_cranes,method,cost,lb_mc,gap,interference,time_s
mc_R081606_004_c3.txt,3,M-Leveling,75779.7,57267.3,32.33,0,11.077
mc_R081606_005_c2.txt,2,M-Kim2016,94205.8,59994.3,57.02,0,5.789
mc_R081606_005_c2.txt,2,M-Leveling,76730.1,59994.3,27.9,0,9.756
mc_R081606_005_c3.txt,3,M-Kim2016,94213.8,58358.1,61.44,0,4.948
mc_R081606_005_c3.txt,3,M-Leveling,76982.1,58358.1,31.91,0,10.644
mc_R101606_001_c2.txt,2,M-Kim2016,122640.5,77707.0,57.82,0,6.1
mc_R101606_001_c2.txt,2,M-Leveling,98812.1,77707.0,27.16,0,13.446
mc_R101606_001_c3.txt,3,M-Kim2016,123368.1,75617.2,63.15,0,6.886
mc_R101606_001_c3.txt,3,M-Leveling,98956.0,75617.2,30.86,0,17.559
mc_R101606_002_c2.txt,2,M-Kim2016,122395.0,76283.0,60.45,0,6.149
mc_R101606_002_c2.txt,2,M-Leveling,94280.0,76283.0,23.59,0,16.233
mc_R101606_002_c3.txt,3,M-Kim2016,122666.8,74312.0,65.07,0,9.308
mc_R101606_002_c3.txt,3,M-Leveling,94272.8,74312.0,26.86,0,14.157
mc_R101606_003_c2.txt,2,M-Kim2016,124663.0,76744.5,62.44,0,7.902
mc_R101606_003_c2.txt,2,M-Leveling,96220.5,76744.5,25.38,0,14.917
mc_R101606_003_c3.txt,3,M-Kim2016,124553.4,74681.7,66.78,0,4.932
mc_R101606_003_c3.txt,3,M-Leveling,96099.3,74681.7,28.68,0,9.701
mc_R101606_004_c2.txt,2,M-Kim2016,120843.9,77251.0,56.43,0,4.652
mc_R101606_004_c2.txt,2,M-Leveling,96378.4,77251.0,24.76,0,10.434
mc_R101606_004_c3.txt,3,M-Kim2016,121183.1,75301.6,60.93,0,5.785
mc_R101606_004_c3.txt,3,M-Leveling,96514.0,75301.6,28.17,0,9.154
mc_R101606_005_c2.txt,2,M-Kim2016,120032.9,76497.5,56.91,0,4.597
mc_R101606_005_c2.txt,2,M-Leveling,97105.7,76497.5,26.94,0,14.816
mc_R101606_005_c3.txt,3,M-Kim2016,119409.8,74526.5,60.22,0,9.465
mc_R101606_005_c3.txt,3,M-Leveling,97085.3,74526.5,30.27,0,24.521
mc_U011606_001_c2.txt,2,M-Kim2016,6032.4,5544.5,8.8,0,0.111
mc_U011606_001_c2.txt,2,M-Leveling,6412.8,5544.5,15.66,0,0.161
mc_U011606_001_c3.txt,3,M-Kim2016,5955.6,5646.2,5.48,0,0.117
mc_U011606_001_c3.txt,3,M-Leveling,6283.2,5646.2,11.28,0,0.15
mc_U011606_002_c2.txt,2,M-Kim2016,5870.4,5482.5,7.08,0,0.137
mc_U011606_002_c2.txt,2,M-Leveling,6579.6,5482.5,20.01,0,0.31
mc_U011606_002_c3.txt,3,M-Kim2016,6129.6,5582.4,9.8,0,0.336
mc_U011606_002_c3.txt,3,M-Leveling,6728.4,5582.4,20.53,0,0.405
mc_U011608_001_c2.txt,2,M-Kim2016,8529.6,7341.9,16.18,0,0.412
mc_U011608_001_c2.txt,2,M-Leveling,8936.4,7341.9,21.72,0,0.534
mc_U011608_001_c3.txt,3,M-Kim2016,8383.2,7478.8,12.09,0,0.374
mc_U011608_001_c3.txt,3,M-Leveling,8635.2,7478.8,15.46,0,0.503
mc_U011608_002_c2.txt,2,M-Kim2016,8598.0,7437.9,15.6,0,0.409
mc_U011608_002_c2.txt,2,M-Leveling,8869.2,7437.9,19.24,0,0.513
mc_U011608_002_c3.txt,3,M-Kim2016,8523.6,7574.8,12.53,0,0.183
mc_U011608_002_c3.txt,3,M-Leveling,8785.2,7574.8,15.98,0,0.309
mc_U021606_001_c2.txt,2,M-Kim2016,19113.9,11873.4,60.98,0,0.472
mc_U021606_001_c2.txt,2,M-Leveling,15661.8,11873.4,31.91,0,0.651
mc_U021606_001_c3.txt,3,M-Kim2016,18672.3,12073.2,54.66,0,0.622
mc_U021606_001_c3.txt,3,M-Leveling,15425.4,12073.2,27.77,0,0.662
mc_U021606_002_c2.txt,2,M-Kim2016,19400.7,11914.2,62.84,0,0.559
mc_U021606_002_c2.txt,2,M-Leveling,15608.7,11914.2,31.01,0,0.645
mc_U021606_002_c3.txt,3,M-Kim2016,19424.7,12114.0,60.35,0,0.47
mc_U021606_002_c3.txt,3,M-Leveling,15608.7,12114.0,28.85,0,0.653
