dataset,instance,method,cost,lb,gap,time_s
Lee_random,R021606_0140_004.txt,NearestStack,20715.0,12949.8,59.96,0.35
Lee_random,R021606_0140_004.txt,LowestHeight,22354.8,12949.8,72.63,0.288
Lee_random,R021606_0140_005.txt,OriginalModel,12913.2,12068.4,7.0,1.208
Lee_random,R021606_0140_005.txt,ZeroShot,12600.3,12068.4,4.41,1.291
Lee_random,R021606_0140_005.txt,Lin2015,14836.5,12068.4,22.94,0.43
Lee_random,R021606_0140_005.txt,Kim2016,16864.5,12068.4,39.74,0.403
Lee_random,R021606_0140_005.txt,Leveling,14894.4,12068.4,23.42,0.942
Lee_random,R021606_0140_005.txt,Durasevic2025,19358.7,12068.4,60.41,0.616
Lee_random,R021606_0140_005.txt,NearestStack,18500.1,12068.4,53.29,0.458
Lee_random,R021606_0140_005.txt,LowestHeight,19715.7,12068.4,63.37,0.296
Lee_random,R021608_0190_001.txt,OriginalModel,19479.0,17308.2,12.54,2.185
Lee_random,R021608_0190_001.txt,ZeroShot,19457.4,17308.2,12.42,2.232
Lee_random,R021608_0190_001.txt,Lin2015,22635.6,17308.2,30.78,0.819
Lee_random,R021608_0190_001.txt,Kim2016,25775.7,17308.2,48.92,0.719
Lee_random,R021608_0190_001.txt,Leveling,24039.0,17308.2,38.89,1.52
Lee_random,R021608_0190_001.txt,Durasevic2025,31686.0,17308.2,83.07,0.971
Lee_random,R021608_0190_001.txt,NearestStack,31995.6,17308.2,84.86,0.695
Lee_random,R021608_0190_001.txt,LowestHeight,32527.8,17308.2,87.93,1.376
Lee_random,R021608_0190_002.txt,OriginalModel,18581.7,17039.7,9.05,3.866
Lee_random,R021608_0190_002.txt,ZeroShot,18422.4,17039.7,8.11,3.87
Lee_random,R021608_0190_002.txt,Lin2015,21057.3,17039.7,23.58,1.894
Lee_random,R021608_0190_002.txt,Kim2016,26218.5,17039.7,53.87,1.748
Lee_random,R021608_0190_002.txt,Leveling,22984.5,17039.7,34.89,3.087
Lee_random,R021608_0190_002.txt,Durasevic2025,30424.5,17039.7,78.55,2.141
Lee_random,R021608_0190_002.txt,NearestStack,35345.1,17039.7,107.43,1.479
Lee_random,R021608_0190_002.txt,LowestHeight,36508.5,17039.7,114.26,1.088
Lee_random,R021608_0190_003.txt,OriginalModel,19549.8,17779.8,9.96,3.866
Lee_random,R021608_0190_003.txt,ZeroShot,19419.3,17779.8,9.22,3.738
Lee_random,R021608_0190_003.txt,Lin2015,22558.8,17779.8,26.88,1.821
Lee_random,R021608_0190_003.txt,Kim2016,24218.4,17779.8,36.21,1.55
Lee_random,R021608_0190_003.txt,Leveling,23526.6,17779.8,32.32,3.025
Lee_random,R021608_0190_003.txt,Durasevic2025,29047.8,17779.8,63.38,2.079
Lee_random,R021608_0190_003.txt,NearestStack,32984.4,17779.8,85.52,1.374
Lee_random,R021608_0190_003.txt,LowestHeight,32273.1,17779.8,81.52,1.008
Lee_random,R021608_0190_004.txt,OriginalModel,18411.3,17115.3,7.57,3.523
Lee_random,R021608_0190_004.txt,ZeroShot,18342.6,17115.3,7.17,3.613
Lee_random,R021608_0190_004.txt,Lin2015,20918.4,17115.3,22.22,1.693
Lee_random,R021608_0190_004.txt,Kim2016,23376.0,17115.3,36.58,1.562
Lee_random,R021608_0190_004.txt,Leveling,22767.3,17115.3,33.02,3.001
Lee_random,R021608_0190_004.txt,Durasevic2025,28198.5,17115.3,64.76,1.908
Lee_random,R021608_0190_004.txt,NearestStack,32138.4,17115.3,87.78,1.314
Lee_random,R021608_0190_004.txt,LowestHeight,31763.4,17115.3,85.58,1.058
Lee_random,R021608_0190_005.txt,OriginalModel,18944.4,17554.8,7.92,3.8
Lee_random,R021608_0190_005.txt,ZeroShot,18575.1,17554.8,5.81,3.719
Lee_random,R021608_0190_005.txt,Lin2015,22192.5,17554.8,26.42,1.83
Lee_random,R021608_0190_005.txt,Kim2016,25751.1,17554.8,46.69,1.572
Lee_random,R021608_0190_005.txt,Leveling,23124.0,17554.8,31.72,3.166
Lee_random,R021608_0190_005.txt,Durasevic2025,29625.6,17554.8,68.76,2.021
Lee_random,R021608_0190_005.txt,NearestStack,37303.2,17554.8,112.5,1.555
Lee_random,R021608_0190_005.txt,LowestHeight,33393.9,17554.8,90.23,1.107
Lee_random,R041606_0280_001.txt,OriginalModel,31252.0,29393.2,6.32,5.645
Lee_random,R041606_0280_001.txt,ZeroShot,31061.0,29393.2,5.67,5.674
Lee_random,R041606_0280_001.txt,Lin2015,36750.4,29393.2,25.03,3.563
Lee_random,R041606_0280_001.txt,Kim2016,41688.5,29393.2,41.83,3.177
Lee_random,R041606_0280_001.txt,Leveling,35544.4,29393.2,20.93,5.817
Lee_random,R041606_0280_001.txt,Durasevic2025,45719.1,29393.2,55.54,4.019
Lee_random,R041606_0280_001.txt,NearestStack,49318.2,29393.2,67.79,1.641
Lee_random,R041606_0280_001.txt,LowestHeight,52331.9,29393.2,78.04,1.448
Lee_random,R041606_0280_002.txt,OriginalModel,29469.1,28005.7,5.23,4.887
Lee_random,R041606_0280_002.txt,ZeroShot,29126.1,28005.7,4.0,4.815
Lee_random,R041606_0280_002.txt,Lin2015,35923.6,28005.7,28.27,3.131
Lee_random,R041606_0280_002.txt,Kim2016,39752.4,28005.7,41.94,2.885
Lee_random,R041606_0280_002.txt,Leveling,33247.3,28005.7,18.72,5.296
