dataset,instance,method,cost,lb,gap,time_s
Lee_upsidedown,R041608_0380_001.txt,ZeroShot,45283.6,43109.9,5.04,14.425
Lee_upsidedown,R041608_0380_001.txt,Lin2015,53828.9,43109.9,24.86,8.442
Lee_upsidedown,R041608_0380_001.txt,Kim2016,69272.0,43109.9,60.69,5.828
Lee_upsidedown,R041608_0380_001.txt,Leveling,52273.1,43109.9,21.26,9.445
Lee_upsidedown,R041608_0380_001.txt,Durasevic2025,71916.0,43109.9,66.82,6.747
Lee_upsidedown,R041608_0380_001.txt,NearestStack,83462.5,43109.9,93.6,2.925
Lee_upsidedown,R041608_0380_001.txt,LowestHeight,80197.4,43109.9,86.03,2.233
Lee_upsidedown,R041608_0380_002.txt,OriginalModel,44861.7,42509.7,5.53,19.091
Lee_upsidedown,R041608_0380_002.txt,ZeroShot,44569.0,42509.7,4.84,13.333
Lee_upsidedown,R041608_0380_002.txt,Lin2015,52494.5,42509.7,23.49,6.34
Lee_upsidedown,R041608_0380_002.txt,Kim2016,68846.4,42509.7,61.95,5.568
Lee_upsidedown,R041608_0380_002.txt,Leveling,50310.9,42509.7,18.35,12.591
Lee_upsidedown,R041608_0380_002.txt,Durasevic2025,73011.0,42509.7,71.75,6.985
Lee_upsidedown,R041608_0380_002.txt,NearestStack,84447.7,42509.7,98.66,3.076
Lee_upsidedown,R041608_0380_002.txt,LowestHeight,83688.4,42509.7,96.87,2.356
Lee_upsidedown,R061606_0430_001.txt,OriginalModel,51356.0,49200.8,4.38,11.338
Lee_upsidedown,R061606_0430_001.txt,ZeroShot,50673.0,49200.8,2.99,17.184
Lee_upsidedown,R061606_0430_001.txt,Lin2015,63516.1,49200.8,29.1,11.86
Lee_upsidedown,R061606_0430_001.txt,Kim2016,77181.5,49200.8,56.87,8.15
Lee_upsidedown,R061606_0430_001.txt,Leveling,55691.6,49200.8,13.19,5.586
Lee_upsidedown,R061606_0430_001.txt,Durasevic2025,81427.3,49200.8,65.5,3.913
Lee_upsidedown,R061606_0430_001.txt,NearestStack,88456.1,49200.8,79.79,1.347
Lee_upsidedown,R061606_0430_001.txt,LowestHeight,90300.6,49200.8,83.53,1.359
Lee_upsidedown,R061606_0430_002.txt,OriginalModel,51743.2,49392.4,4.76,6.009
Lee_upsidedown,R061606_0430_002.txt,ZeroShot,51369.1,49392.4,4.0,5.85
Lee_upsidedown,R061606_0430_002.txt,Lin2015,63254.5,49392.4,28.07,4.149
Lee_upsidedown,R061606_0430_002.txt,Kim2016,79953.1,49392.4,61.87,3.383
Lee_upsidedown,R061606_0430_002.txt,Leveling,56857.6,49392.4,15.11,5.568
Lee_upsidedown,R061606_0430_002.txt,Durasevic2025,82676.1,49392.4,67.39,4.227
Lee_upsidedown,R061606_0430_002.txt,NearestStack,95071.0,49392.4,92.48,1.321
Lee_upsidedown,R061606_0430_002.txt,LowestHeight,94156.5,49392.4,90.63,1.068
Lee_upsidedown,R061608_0570_001.txt,OriginalModel,70799.0,66255.8,6.86,9.047
Lee_upsidedown,R061608_0570_001.txt,ZeroShot,70735.6,66255.8,6.76,16.752
Lee_upsidedown,R061608_0570_001.txt,Lin2015,86982.0,66255.8,31.28,26.218
Lee_upsidedown,R061608_0570_001.txt,Kim2016,110669.7,66255.8,67.03,14.819
Lee_upsidedown,R061608_0570_001.txt,Leveling,79507.4,66255.8,20.0,18.922
Lee_upsidedown,R061608_0570_001.txt,Durasevic2025,113622.2,66255.8,71.49,13.141
Lee_upsidedown,R061608_0570_001.txt,NearestStack,139181.9,66255.8,110.07,4.65
Lee_upsidedown,R061608_0570_001.txt,LowestHeight,130079.2,66255.8,96.33,3.739
Lee_upsidedown,R061608_0570_002.txt,OriginalModel,71193.2,66732.8,6.68,17.797
Lee_upsidedown,R061608_0570_002.txt,ZeroShot,70990.2,66732.8,6.38,8.649
Lee_upsidedown,R061608_0570_002.txt,Lin2015,84877.9,66732.8,27.19,5.06
Lee_upsidedown,R061608_0570_002.txt,Kim2016,114862.0,66732.8,72.12,5.236
Lee_upsidedown,R061608_0570_002.txt,Leveling,81593.6,66732.8,22.27,8.612
Lee_upsidedown,R061608_0570_002.txt,Durasevic2025,113587.6,66732.8,70.21,6.88
Lee_upsidedown,R061608_0570_002.txt,NearestStack,142570.4,66732.8,113.64,3.123
Lee_upsidedown,R061608_0570_002.txt,LowestHeight,132691.3,66732.8,98.84,1.637
Lee_upsidedown,R081606_0570_001.txt,OriginalModel,70587.7,68488.9,3.06,18.616
Lee_upsidedown,R081606_0570_001.txt,ZeroShot,69816.7,68488.9,1.94,16.426
Lee_upsidedown,R081606_0570_001.txt,Lin2015,87929.5,68488.9,28.39,5.973
Lee_upsidedown,R081606_0570_001.txt,Kim2016,110433.4,68488.9,61.24,5.189
Lee_upsidedown,R081606_0570_001.txt,Leveling,76939.3,68488.9,12.34,7.939
Lee_upsidedown,R081606_0570_001.txt,Durasevic2025,112704.2,68488.9,64.56,6.223
Lee_upsidedown,R081606_0570_001.txt,NearestStack,124201.2,68488.9,81.35,1.658
Lee_upsidedown,R081606_0570_001.txt,LowestHeight,127389.7,68488.9,86.0,1.382
Lee_upsidedown,R081606_0570_002.txt,OriginalModel,68478.6,66918.6,2.33,9.938
Lee_upsidedown,R081606_0570_002.txt,ZeroShot,68223.5,66918.6,1.95,7.927
Lee_upsidedown,R081606_0570_002.txt,Lin2015,85190.4,66918.6,27.3,5.131
Lee_upsidedown,R081606_0570_002.txt,Kim2016,105989.3,66918.6,58.39,5.249
Lee_upsidedown,R081606_0570_002.txt,Leveling,74121.0,66918.6,10.76,8.246
Lee_upsidedown,R081606_0570_002.txt,Durasevic2025,111535.5,66918.6,66.67,6.607
Lee_upsidedown,R081606_0570_002.txt,NearestStack,130840.9,66918.6,95.52,1.807
Lee_upsidedown,R081606_0570_002.txt,LowestHeight,126944.7,66918.6,89.7,1.58
Lee_upsidedown,R101606_0720_001.txt,OriginalModel,92400.7,88442.3,4.48,11.566
Lee_upsidedown,R101606_0720_001.txt,ZeroShot,91525.6,88442.3,3.49,20.759
Lee_upsidedown,R101606_0720_001.txt,Lin2015,111849.5,88442.3,26.47,35.199
Lee_upsidedown,R101606_0720_001.txt,Kim2016,145031.2,88442.3,63.98,20.659
Lee_upsidedown,R101606_0720_001.txt,Leveling,100528.6,88442.3,13.67,28.946
Lee_upsidedown,R101606_0720_001.txt,Durasevic2025,145158.1,88442.3,64.13,21.004
Lee_upsidedown,R101606_0720_001.txt,NearestStack,167178.8,88442.3,89.03,4.486
Lee_upsidedown,R101606_0720_001.txt,LowestHeight,167747.7,88442.3,89.67,4.281
Lee_upsidedown,R101606_0720_002.txt,OriginalModel,92769.8,89142.2,4.07,18.662
Lee_upsidedown,R101606_0720_002.txt,ZeroShot,92029.2,89142.2,3.24,19.328
Lee_upsidedown,R101606_0720_002.txt,Lin2015,111400.2,89142.2,24.97,23.094
Lee_upsidedown,R101606_0720_002.txt,Kim2016,141837.8,89142.2,59.11,17.202
Lee_upsidedown,R101606_0720_002.txt,Leveling,100439.1,89142.2,12.67,29.682
Lee_upsidedown,R101606_0720_002.txt,Durasevic2025,143471.4,89142.2,60.95,25.182
Lee_upsidedown,R101606_0720_002.txt,NearestStack,162092.0,89142.2,81.84,7.772
Lee_upsidedown,R101606_0720_002.txt,LowestHeight,163993.2,89142.2,83.97,6.087
Lee_upsidedown,U011606_0070_001.txt,OriginalModel,5396.4,5239.2,3.0,1.179
Lee_upsidedown,U011606_0070_001.txt,ZeroShot,5320.8,5239.2,1.56,1.188
Lee_upsidedown,U011606_0070_001.txt,Lin2015,5623.2,5239.2,7.33,0.5
Lee_upsidedown,U011606_0070_001.txt,Kim2016,5907.6,5239.2,12.76,0.444
Lee_upsidedown,U011606_0070_001.txt,Leveling,6274.8,5239.2,19.77,0.599
Lee_upsidedown,U011606_0070_001.txt,Durasevic2025,5875.2,5239.2,12.14,0.565
Lee_upsidedown,U011606_0070_001.txt,NearestStack,7002.0,5239.2,33.65,0.379
Lee_upsidedown,U011606_0070_001.txt,LowestHeight,6225.6,5239.2,18.83,0.274
Lee_upsidedown,U011606_0070_002.txt,OriginalModel,5575.2,5182.8,7.57,1.266
Lee_upsidedown,U011606_0070_002.txt,ZeroShot,5528.4,5182.8,6.67,1.278
Lee_upsidedown,U011606_0070_002.txt,Lin2015,5720.4,5182.8,10.37,0.512
Lee_upsidedown,U011606_0070_002.txt,Kim2016,5978.4,5182.8,15.35,0.473
Lee_upsidedown,U011606_0070_002.txt,Leveling,6579.6,5182.8,26.95,0.617
Lee_upsidedown,U011606_0070_002.txt,Durasevic2025,6104.4,5182.8,17.78,0.606
Lee_upsidedown,U011606_0070_002.txt,NearestStack,7075.2,5182.8,36.51,0.388
Lee_upsidedown,U011606_0070_002.txt,LowestHeight,6423.6,5182.8,23.94,0.294
Lee_upsidedown,U011608_0090_001.txt,OriginalModel,7654.8,6931.2,10.44,1.714
Lee_upsidedown,U011608_0090_001.txt,ZeroShot,7611.6,6931.2,9.82,1.741
Lee_upsidedown,U011608_0090_001.txt,Lin2015,7467.6,6931.2,7.74,0.665
Lee_upsidedown,U011608_0090_001.txt,Kim2016,8416.8,6931.2,21.43,0.673
Lee_upsidedown,U011608_0090_001.txt,Leveling,8420.4,6931.2,21.49,0.873
Lee_upsidedown,U011608_0090_001.txt,Durasevic2025,7735.2,6931.2,11.6,0.796
Lee_upsidedown,U011608_0090_001.txt,NearestStack,8646.0,6931.2,24.74,0.484
Lee_upsidedown,U011608_0090_001.txt,LowestHeight,8426.4,6931.2,21.57,0.784
Lee_upsidedown,U011608_0090_002.txt,OriginalModel,7809.6,7027.2,11.13,2.781
Lee_upsidedown,U011608_0090_002.txt,ZeroShot,7767.6,7027.2,10.54,1.901
Lee_upsidedown,U011608_0090_002.txt,Lin2015,7903.2,7027.2,12.47,0.682
Lee_upsidedown,U011608_0090_002.txt,Kim2016,8638.8,7027.2,22.93,0.668
